"contrast","odds.ratio","SE","df","null","z.ratio","p.value","factor"
"control / catfish",0.62541621555576,0.187688433995386,Inf,1,-1.56392981036988,0.261393802933568,"treatment"
"control / eel",1.51662211001054,0.452042703826115,Inf,1,1.39732643026702,0.342272375425317,"treatment"
"catfish / eel",2.42498047266464,0.720718405805922,Inf,1,2.98050473548872,0.00809688338062164,"treatment"
"light / dark",1.94954939123149,0.46751825117218,Inf,1,2.78388231216069,0.00537125195648888,"light"
"before / during",0.589838944599102,0.166431971667283,Inf,1,-1.87091079930909,0.147168138476972,"period"
"before / after",0.40406146759065,0.121550348407733,Inf,1,-3.01237935640059,0.00731161759694432,"period"
"during / after",0.685036943203674,0.205469152910527,Inf,1,-1.26119902176415,0.417251014788684,"period"
